14121,location 118,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-19 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,1
9734,location 272,-event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 315 - feature 232 - feature 233 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
14954,location 1106,-event_type 11 - ,-feature 54 - feature 170 - ,-13 - 18 - ,-resource_type 8 - ,-severity_type 1 - ,1
15493,location 611,-event_type 20 - ,-feature 134 - feature 219 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,0
6222,location 724,-event_type 11 - ,-feature 68 - feature 170 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
17390,location 173,-event_type 34 - ,-feature 233 - feature 235 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
6826,location 943,-event_type 11 - ,-feature 68 - feature 170 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
8611,location 821,-event_type 11 - event_type 15 - ,-feature 82 - feature 193 - feature 203 - feature 71 - feature 198 - feature 76 - ,-21 - 1 - 2 - 1 - 2 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,2
9087,location 795,-event_type 15 - ,-feature 51 - feature 101 - ,-13 - 6 - ,-resource_type 8 - ,-severity_type 2 - ,0
17472,location 733,-event_type 11 - ,-feature 206 - feature 54 - feature 68 - feature 170 - ,-2 - 1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
12760,location 249,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
4963,location 704,-event_type 15 - ,-feature 203 - feature 82 - ,-9 - 17 - ,-resource_type 8 - ,-severity_type 2 - ,2
6225,location 821,-event_type 11 - event_type 54 - event_type 15 - ,-feature 74 - feature 196 - feature 193 - feature 80 - feature 201 - feature 203 - feature 71 - feature 82 - ,-1 - 1 - 5 - 2 - 2 - 7 - 7 - 37 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
7959,location 802,-event_type 13 - ,-feature 345 - ,-2 - ,-resource_type 6 - ,-severity_type 1 - ,0
1773,location 957,-event_type 54 - event_type 11 - ,-feature 202 - feature 55 - feature 171 - feature 81 - ,-2 - 1 - 1 - 3 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,1
6136,location 408,-event_type 34 - event_type 35 - ,-feature 315 - feature 232 - feature 235 - feature 233 - feature 313 - feature 312 - ,-2 - 1 - 1 - 2 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
5965,location 723,-event_type 11 - ,-feature 209 - feature 87 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
5390,location 255,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-4 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
13663,location 655,-event_type 11 - event_type 15 - event_type 5 - event_type 3 - ,-feature 158 - feature 68 - feature 139 - feature 5 - feature 201 - feature 43 - feature 141 - feature 8 - ,-14 - 133 - 3 - 3 - 126 - 3 - 5 - 5 - ,-resource_type 8 - resource_type 1 - ,-severity_type 1 - ,2
4501,location 888,-event_type 20 - ,-feature 134 - feature 219 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
13442,location 704,-event_type 15 - ,-feature 82 - feature 80 - feature 203 - ,-8 - 4 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,1
6958,location 989,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
16339,location 1015,-event_type 11 - ,-feature 54 - feature 170 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
9372,location 1019,-event_type 15 - event_type 11 - ,-feature 196 - feature 203 - feature 82 - feature 80 - feature 201 - feature 74 - ,-22 - 2 - 2 - 4 - 6 - 22 - ,-resource_type 8 - ,-severity_type 1 - ,0
5576,location 692,-event_type 11 - ,-feature 170 - feature 54 - feature 206 - ,-1 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
663,location 653,-event_type 54 - event_type 15 - ,-feature 82 - feature 201 - feature 203 - feature 80 - ,-27 - 1 - 7 - 8 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
1473,location 945,-event_type 11 - ,-feature 202 - feature 81 - ,-4 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
949,location 651,-event_type 11 - ,-feature 83 - feature 204 - feature 68 - ,-1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
10513,location 1106,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
14289,location 763,-event_type 11 - ,-feature 196 - feature 74 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
15260,location 416,-event_type 35 - ,-feature 301 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - ,0
9812,location 830,-event_type 11 - ,-feature 54 - feature 170 - ,-108 - 89 - ,-resource_type 8 - ,-severity_type 1 - ,0
4916,location 704,-event_type 15 - ,-feature 82 - feature 203 - feature 80 - ,-14 - 4 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,2
17515,location 1024,-event_type 11 - ,-feature 42 - feature 157 - ,-7 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,2
17388,location 497,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-2 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
4450,location 890,-event_type 11 - ,-feature 73 - ,-3 - ,-resource_type 8 - ,-severity_type 2 - ,0
16258,location 849,-event_type 11 - ,-feature 109 - feature 73 - ,-13 - 5 - ,-resource_type 8 - ,-severity_type 2 - ,0
10528,location 208,-event_type 20 - event_type 35 - ,-feature 219 - feature 301 - feature 134 - feature 307 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
4003,location 255,-event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 232 - ,-3 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
3954,location 139,-event_type 20 - event_type 35 - ,-feature 313 - feature 134 - feature 307 - feature 312 - feature 219 - feature 301 - ,-1 - 1 - 1 - 2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
13945,location 914,-event_type 23 - event_type 20 - event_type 14 - ,-feature 306 - feature 219 - feature 134 - ,-1 - 1 - 1 - ,-resource_type 4 - resource_type 2 - resource_type 7 - ,-severity_type 1 - ,1
15607,location 326,-event_type 21 - ,-feature 135 - feature 220 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,0
11897,location 937,-event_type 11 - ,-feature 204 - feature 182 - feature 207 - feature 170 - ,-2 - 1 - 1 - 16 - ,-resource_type 8 - ,-severity_type 1 - ,0
12609,location 1086,-event_type 15 - ,-feature 82 - ,-10 - ,-resource_type 8 - ,-severity_type 2 - ,0
10122,location 506,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - feature 312 - feature 232 - feature 236 - feature 228 - feature 230 - feature 310 - feature 309 - feature 308 - feature 316 - feature 229 - feature 234 - feature 314 - feature 315 - ,-6 - 6 - 29 - 54 - 1 - 6 - 2 - 7 - 35 - 12 - 4 - 31 - 33 - 33 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
7886,location 149,-event_type 35 - ,-feature 307 - feature 312 - feature 313 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
15771,location 846,-event_type 15 - ,-feature 82 - ,-8 - ,-resource_type 8 - ,-severity_type 2 - ,0
17681,location 865,-event_type 11 - ,-feature 54 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - ,0
15863,location 925,-event_type 11 - ,-feature 170 - feature 54 - ,-12 - 8 - ,-resource_type 8 - ,-severity_type 1 - ,2
17690,location 798,-event_type 15 - ,-feature 203 - feature 82 - ,-5 - 6 - ,-resource_type 8 - ,-severity_type 2 - ,1
8606,location 243,-event_type 34 - event_type 35 - ,-feature 234 - feature 229 - feature 312 - feature 232 - feature 314 - feature 309 - ,-63 - 39 - 36 - 37 - 67 - 42 - ,-resource_type 2 - ,-severity_type 2 - ,0
11362,location 193,-event_type 35 - event_type 34 - ,-feature 314 - feature 234 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
4604,location 723,-event_type 11 - ,-feature 87 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
5480,location 471,-event_type 34 - event_type 35 - ,-feature 233 - feature 232 - feature 312 - feature 313 - feature 235 - feature 315 - ,-2 - 4 - 8 - 5 - 3 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
12277,location 1107,-event_type 11 - event_type 15 - ,-feature 82 - feature 172 - feature 71 - feature 193 - feature 201 - feature 203 - feature 80 - feature 56 - ,-129 - 4 - 17 - 15 - 14 - 32 - 10 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,2
1400,location 375,-event_type 34 - event_type 35 - ,-feature 313 - feature 233 - ,-5 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
6687,location 91,-event_type 35 - event_type 34 - ,-feature 235 - feature 315 - ,-289 - 275 - ,-resource_type 2 - ,-severity_type 2 - ,0
11153,location 1047,-event_type 11 - ,-feature 55 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
8313,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-37 - 27 - ,-resource_type 8 - ,-severity_type 2 - ,2
5787,location 490,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
741,location 1051,-event_type 11 - ,-feature 207 - feature 170 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
16502,location 763,-event_type 15 - ,-feature 82 - ,-12 - ,-resource_type 8 - ,-severity_type 2 - ,0
4036,location 896,-event_type 42 - event_type 44 - event_type 43 - ,-feature 375 - feature 290 - feature 368 - feature 376 - feature 291 - feature 283 - ,-8 - 2 - 10 - 11 - 5 - 5 - ,-resource_type 2 - ,-severity_type 1 - ,0
5029,location 1011,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
18158,location 834,-event_type 15 - ,-feature 203 - feature 82 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
18441,location 118,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-16 - 14 - ,-resource_type 2 - ,-severity_type 2 - ,0
4268,location 97,-event_type 35 - ,-feature 312 - feature 307 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 4 - ,0
4092,location 1019,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - feature 80 - ,-12 - 7 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
16819,location 226,-event_type 35 - ,-feature 312 - feature 307 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
7774,location 962,-event_type 15 - ,-feature 203 - feature 82 - ,-4 - 10 - ,-resource_type 8 - ,-severity_type 2 - ,2
5824,location 885,-event_type 11 - ,-feature 70 - feature 191 - feature 81 - feature 202 - ,-1 - 1 - 2 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,0
7295,location 821,-event_type 11 - event_type 15 - ,-feature 193 - feature 82 - feature 198 - feature 71 - feature 203 - ,-1 - 6 - 6 - 1 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,1
18146,location 812,-event_type 11 - ,-feature 18 - feature 51 - feature 101 - ,-2 - 233 - 172 - ,-resource_type 8 - ,-severity_type 1 - ,0
17409,location 816,-event_type 13 - event_type 22 - event_type 14 - event_type 11 - ,-feature 170 - feature 54 - feature 274 - feature 345 - feature 222 - feature 347 - feature 303 - feature 273 - ,-154 - 128 - 9 - 4 - 5 - 3 - 3 - 4 - ,-resource_type 8 - resource_type 4 - resource_type 6 - resource_type 7 - ,-severity_type 1 - ,2
6095,location 638,-event_type 42 - event_type 45 - event_type 44 - ,-feature 376 - feature 368 - feature 378 - ,-4 - 4 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
9032,location 945,-event_type 11 - ,-feature 191 - feature 70 - ,-6 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
5210,location 468,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-12 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
11177,location 380,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-3 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
12324,location 1109,-event_type 11 - event_type 13 - ,-feature 273 - feature 68 - ,-2 - 2 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - ,1
1697,location 1122,-event_type 20 - ,-feature 219 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
3106,location 1098,-event_type 11 - ,-feature 207 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,1
7824,location 376,-event_type 34 - event_type 20 - event_type 35 - ,-feature 221 - feature 219 - feature 301 - feature 134 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
2588,location 1,-event_type 15 - event_type 11 - ,-feature 82 - feature 201 - feature 80 - feature 203 - ,-9 - 5 - 15 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
13644,location 303,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
13082,location 126,-event_type 34 - event_type 35 - ,-feature 227 - feature 233 - feature 312 - feature 232 - feature 307 - feature 313 - feature 235 - feature 315 - ,-6 - 8 - 68 - 72 - 9 - 8 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
8150,location 520,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-9 - 10 - ,-resource_type 2 - ,-severity_type 2 - ,0
6234,location 734,-event_type 11 - event_type 15 - ,-feature 71 - feature 82 - feature 203 - feature 193 - ,-5 - 23 - 12 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
10350,location 507,-event_type 35 - event_type 34 - ,-feature 312 - feature 307 - feature 227 - feature 232 - ,-27 - 2 - 2 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,0
13538,location 709,-event_type 11 - ,-feature 73 - feature 195 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
2338,location 466,-event_type 35 - event_type 34 - ,-feature 234 - feature 314 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
17947,location 466,-event_type 35 - event_type 34 - ,-feature 228 - feature 312 - feature 229 - feature 307 - feature 232 - feature 227 - feature 234 - feature 314 - feature 301 - feature 309 - feature 230 - feature 235 - feature 233 - ,-2 - 5 - 1 - 3 - 2 - 3 - 6 - 6 - 1 - 2 - 2 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
9786,location 12,-event_type 15 - ,-feature 178 - feature 68 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
9514,location 1102,-event_type 11 - ,-feature 65 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
13670,location 998,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
15482,location 727,-event_type 11 - ,-feature 209 - feature 87 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
12517,location 76,-event_type 11 - ,-feature 171 - feature 55 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
411,location 734,-event_type 11 - event_type 15 - ,-feature 80 - feature 201 - feature 193 - feature 71 - feature 82 - feature 203 - ,-3 - 2 - 1 - 3 - 18 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,1
10237,location 830,-event_type 11 - ,-feature 170 - feature 68 - ,-31 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
12734,location 798,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-6 - 18 - ,-resource_type 8 - ,-severity_type 1 - ,0
10863,location 309,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
11390,location 737,-event_type 11 - ,-feature 42 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
5260,location 1111,-event_type 11 - ,-feature 207 - feature 170 - feature 182 - ,-1 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
8244,location 314,-event_type 34 - event_type 35 - ,-feature 313 - feature 233 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
4161,location 1023,-event_type 29 - ,-feature 217 - feature 132 - ,-1 - 1 - ,-resource_type 9 - ,-severity_type 1 - ,1
16354,location 658,-event_type 11 - ,-feature 161 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
15236,location 477,-event_type 35 - event_type 34 - ,-feature 234 - feature 309 - feature 314 - feature 229 - ,-36 - 20 - 48 - 9 - ,-resource_type 2 - ,-severity_type 2 - ,0
14877,location 990,-event_type 11 - ,-feature 170 - feature 54 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
4810,location 445,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-9 - 7 - ,-resource_type 2 - ,-severity_type 2 - ,0
4637,location 618,-event_type 23 - ,-feature 306 - ,-2 - ,-resource_type 7 - ,-severity_type 4 - ,0
14124,location 758,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,1
4737,location 488,-event_type 34 - event_type 35 - ,-feature 234 - feature 312 - feature 314 - feature 232 - ,-2 - 19 - 2 - 8 - ,-resource_type 2 - ,-severity_type 2 - ,0
5377,location 643,-event_type 42 - event_type 44 - ,-feature 368 - feature 376 - feature 291 - ,-2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
14696,location 834,-event_type 15 - ,-feature 82 - feature 203 - ,-24 - 18 - ,-resource_type 8 - ,-severity_type 2 - ,0
2880,location 607,-event_type 40 - event_type 14 - event_type 11 - ,-feature 68 - feature 162 - feature 10 - feature 145 - ,-3 - 4 - 3 - 3 - ,-resource_type 4 - resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
17021,location 141,-event_type 35 - ,-feature 307 - feature 312 - feature 309 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
11043,location 497,-event_type 35 - event_type 34 - ,-feature 313 - feature 232 - feature 233 - feature 312 - ,-27 - 54 - 29 - 44 - ,-resource_type 2 - ,-severity_type 2 - ,0
6,location 332,-event_type 34 - ,-feature 227 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
2380,location 821,-event_type 54 - event_type 15 - ,-feature 82 - feature 80 - feature 71 - ,-13 - 5 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
6563,location 794,-event_type 14 - event_type 11 - event_type 20 - event_type 23 - ,-feature 306 - feature 163 - feature 134 - feature 47 - ,-1 - 2 - 1 - 2 - ,-resource_type 7 - resource_type 8 - resource_type 2 - resource_type 4 - ,-severity_type 1 - ,0
2273,location 814,-event_type 11 - ,-feature 70 - feature 191 - ,-15 - 13 - ,-resource_type 8 - ,-severity_type 1 - ,0
1743,location 794,-event_type 23 - event_type 11 - event_type 14 - ,-feature 223 - feature 47 - feature 163 - ,-1 - 1 - 2 - ,-resource_type 4 - resource_type 8 - resource_type 7 - ,-severity_type 1 - ,1
12919,location 921,-event_type 15 - ,-feature 82 - feature 203 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,2
7922,location 742,-event_type 54 - event_type 11 - event_type 15 - ,-feature 201 - feature 80 - ,-1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
8201,location 897,-event_type 50 - ,-feature 374 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - ,0
13659,location 466,-event_type 35 - event_type 34 - ,-feature 307 - feature 227 - feature 232 - feature 312 - ,-3 - 3 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
2861,location 1107,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - feature 82 - ,-1 - 6 - 28 - ,-resource_type 8 - ,-severity_type 1 - ,0
17883,location 744,-event_type 13 - event_type 14 - event_type 11 - ,-feature 54 - feature 68 - feature 170 - feature 118 - feature 273 - ,-13 - 11 - 13 - 1 - 1 - ,-resource_type 8 - resource_type 6 - resource_type 4 - ,-severity_type 1 - ,2
17057,location 122,-event_type 34 - event_type 35 - ,-feature 232 - feature 315 - feature 235 - feature 312 - feature 313 - feature 233 - ,-1 - 2 - 3 - 1 - 3 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
12316,location 240,-event_type 35 - event_type 34 - ,-feature 227 - feature 307 - feature 232 - feature 312 - ,-2 - 2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
12541,location 691,-event_type 23 - event_type 11 - event_type 20 - ,-feature 134 - feature 75 - feature 306 - ,-1 - 4 - 4 - ,-resource_type 8 - resource_type 7 - resource_type 2 - ,-severity_type 1 - ,0
363,location 809,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - ,-5 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
