11066,location 481,-event_type 35 - event_type 34 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-24 - 28 - 20 - 26 - ,-resource_type 2 - ,-severity_type 2 - 
977,location 931,-event_type 54 - event_type 15 - ,-feature 80 - feature 203 - feature 82 - ,-4 - 1 - 8 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
979,location 976,-event_type 15 - ,-feature 82 - feature 80 - ,-4 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
10908,location 520,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-11 - 11 - ,-resource_type 2 - ,-severity_type 2 - 
12569,location 1019,-event_type 15 - event_type 11 - ,-feature 82 - feature 201 - feature 80 - feature 203 - ,-6 - 2 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
6078,location 613,-event_type 11 - event_type 15 - ,-feature 193 - feature 82 - feature 203 - feature 71 - ,-6 - 52 - 25 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
18339,location 471,-event_type 34 - event_type 35 - ,-feature 313 - feature 232 - feature 233 - feature 312 - ,-2 - 126 - 2 - 123 - ,-resource_type 2 - ,-severity_type 2 - 
13799,location 1052,-event_type 54 - event_type 15 - ,-feature 203 - feature 82 - ,-1 - 6 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
7193,location 834,-event_type 11 - event_type 15 - ,-feature 82 - feature 71 - feature 203 - feature 193 - ,-22 - 2 - 20 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
8243,location 649,-event_type 20 - event_type 11 - ,-feature 134 - feature 54 - feature 219 - ,-1 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
13622,location 518,-event_type 35 - event_type 34 - ,-feature 235 - feature 316 - feature 233 - feature 311 - feature 313 - feature 309 - feature 314 - feature 315 - feature 229 - feature 232 - feature 234 - feature 312 - feature 236 - ,-1 - 13 - 3 - 1 - 11 - 8 - 29 - 2 - 3 - 1 - 28 - 1 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
5885,location 155,-event_type 34 - event_type 35 - ,-feature 232 - feature 307 - feature 227 - feature 312 - ,-1 - 4 - 4 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
5768,location 962,-event_type 15 - ,-feature 82 - ,-28 - ,-resource_type 8 - ,-severity_type 2 - 
632,location 1068,-event_type 11 - ,-feature 87 - feature 206 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
3314,location 122,-event_type 35 - event_type 34 - ,-feature 232 - feature 313 - feature 235 - feature 233 - feature 312 - feature 315 - ,-7 - 18 - 16 - 22 - 8 - 15 - ,-resource_type 2 - ,-severity_type 2 - 
3664,location 666,-event_type 11 - ,-feature 55 - feature 171 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
18518,location 925,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
7687,location 489,-event_type 34 - event_type 35 - ,-feature 232 - feature 313 - feature 312 - ,-23 - 2 - 29 - ,-resource_type 2 - ,-severity_type 2 - 
17889,location 88,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
12943,location 1,-event_type 11 - event_type 15 - ,-feature 111 - feature 201 - feature 80 - ,-2 - 75 - 50 - ,-resource_type 8 - ,-severity_type 1 - 
3581,location 727,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
13802,location 296,-event_type 20 - event_type 34 - event_type 35 - ,-feature 134 - feature 221 - feature 219 - feature 301 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
17702,location 943,-event_type 11 - ,-feature 170 - feature 54 - ,-3 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
12342,location 476,-event_type 34 - event_type 35 - ,-feature 309 - feature 232 - feature 316 - feature 234 - feature 227 - feature 229 - feature 307 - feature 314 - feature 312 - ,-44 - 1 - 1 - 52 - 1 - 39 - 1 - 51 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
11185,location 126,-event_type 35 - event_type 34 - ,-feature 227 - feature 315 - feature 235 - feature 307 - feature 232 - feature 312 - feature 313 - feature 233 - ,-3 - 4 - 4 - 3 - 7 - 7 - 8 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
15675,location 659,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
6716,location 898,-event_type 50 - ,-feature 289 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
17790,location 99,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
17791,location 30,-event_type 20 - event_type 32 - ,-feature 219 - feature 134 - feature 280 - ,-2 - 2 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
6145,location 255,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-5 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
18237,location 950,-event_type 11 - ,-feature 170 - feature 209 - feature 54 - ,-1 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
10523,location 618,-event_type 11 - event_type 22 - event_type 23 - event_type 14 - event_type 40 - ,-feature 306 - feature 54 - feature 305 - ,-1 - 1 - 1 - ,-resource_type 8 - resource_type 7 - resource_type 4 - resource_type 2 - ,-severity_type 2 - 
4356,location 925,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
7482,location 265,-event_type 35 - event_type 34 - ,-feature 312 - feature 309 - feature 307 - feature 229 - feature 232 - feature 227 - ,-1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
5856,location 1099,-event_type 11 - ,-feature 202 - feature 81 - ,-6 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
5011,location 1042,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-7 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
15872,location 91,-event_type 35 - event_type 34 - ,-feature 235 - feature 315 - ,-56 - 136 - ,-resource_type 2 - ,-severity_type 2 - 
6609,location 1037,-event_type 11 - ,-feature 209 - feature 87 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
995,location 684,-event_type 15 - ,-feature 82 - ,-30 - ,-resource_type 8 - ,-severity_type 2 - 
4680,location 373,-event_type 35 - event_type 20 - event_type 34 - ,-feature 312 - feature 232 - feature 134 - feature 219 - feature 301 - feature 307 - ,-30 - 30 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
18327,location 665,-event_type 11 - ,-feature 55 - feature 171 - ,-8 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
8484,location 330,-event_type 35 - event_type 20 - ,-feature 301 - feature 219 - feature 134 - ,-2 - 2 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
16968,location 627,-event_type 11 - ,-feature 53 - feature 169 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
8305,location 244,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-9 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
7012,location 155,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-5 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
13465,location 834,-event_type 15 - ,-feature 203 - feature 82 - ,-5 - 12 - ,-resource_type 8 - ,-severity_type 2 - 
8375,location 124,-event_type 35 - event_type 34 - ,-feature 232 - feature 313 - feature 233 - feature 315 - feature 235 - feature 312 - ,-1 - 2 - 3 - 2 - 3 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
15629,location 659,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
12296,location 472,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-11 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
458,location 893,-event_type 42 - event_type 44 - event_type 43 - ,-feature 376 - feature 368 - feature 290 - feature 283 - feature 291 - feature 375 - ,-53 - 53 - 7 - 43 - 40 - 51 - ,-resource_type 2 - ,-severity_type 1 - 
18124,location 845,-event_type 15 - ,-feature 82 - feature 203 - ,-22 - 6 - ,-resource_type 8 - ,-severity_type 2 - 
4430,location 821,-event_type 11 - event_type 54 - event_type 15 - ,-feature 201 - feature 80 - feature 71 - feature 193 - feature 82 - feature 203 - ,-1 - 4 - 4 - 5 - 20 - 7 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
14443,location 1033,-event_type 11 - ,-feature 209 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
15275,location 891,-event_type 11 - ,-feature 73 - feature 195 - ,-10 - 8 - ,-resource_type 8 - ,-severity_type 2 - 
4470,location 1019,-event_type 15 - event_type 11 - ,-feature 196 - feature 203 - feature 82 - feature 74 - ,-1 - 22 - 29 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
13831,location 118,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-20 - 24 - ,-resource_type 2 - ,-severity_type 2 - 
7696,location 891,-event_type 11 - ,-feature 73 - feature 195 - ,-5 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
15172,location 925,-event_type 11 - ,-feature 207 - feature 182 - feature 170 - feature 68 - feature 54 - ,-1 - 1 - 32 - 12 - 60 - ,-resource_type 8 - ,-severity_type 1 - 
16647,location 948,-event_type 11 - ,-feature 68 - feature 179 - ,-4 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
14209,location 1112,-event_type 11 - ,-feature 85 - feature 209 - feature 206 - feature 87 - ,-1 - 1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
18121,location 242,-event_type 35 - event_type 34 - ,-feature 229 - feature 234 - feature 314 - feature 309 - feature 312 - feature 232 - ,-2 - 1 - 1 - 2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
12144,location 294,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
800,location 475,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
13200,location 87,-event_type 29 - ,-feature 132 - feature 217 - ,-1 - 1 - ,-resource_type 9 - ,-severity_type 1 - 
5724,location 1107,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - feature 193 - feature 201 - feature 71 - feature 80 - ,-14 - 84 - 5 - 8 - 14 - 9 - ,-resource_type 8 - ,-severity_type 1 - 
15722,location 742,-event_type 11 - event_type 54 - event_type 15 - ,-feature 80 - feature 111 - feature 360 - feature 25 - ,-51 - 65 - 1 - 4 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
6660,location 149,-event_type 35 - event_type 34 - ,-feature 312 - feature 233 - feature 313 - feature 232 - ,-2 - 1 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
8394,location 459,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
5554,location 875,-event_type 11 - ,-feature 71 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - 
10381,location 836,-event_type 11 - ,-feature 73 - feature 195 - ,-3 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
15783,location 242,-event_type 35 - event_type 34 - ,-feature 229 - feature 232 - feature 234 - feature 314 - feature 309 - feature 312 - ,-3 - 3 - 2 - 2 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
10907,location 648,-event_type 20 - event_type 22 - event_type 21 - event_type 23 - ,-feature 135 - feature 305 - feature 134 - feature 306 - ,-1 - 1 - 1 - 3 - ,-resource_type 7 - resource_type 2 - ,-severity_type 1 - 
11455,location 500,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - feature 315 - ,-3 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
5992,location 704,-event_type 15 - ,-feature 82 - feature 203 - ,-8 - 6 - ,-resource_type 8 - ,-severity_type 2 - 
16564,location 653,-event_type 15 - event_type 11 - ,-feature 201 - feature 80 - feature 203 - feature 82 - ,-22 - 12 - 10 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
7933,location 607,-event_type 11 - event_type 40 - event_type 14 - ,-feature 46 - feature 145 - feature 162 - feature 10 - ,-2 - 2 - 4 - 4 - ,-resource_type 4 - resource_type 2 - resource_type 8 - ,-severity_type 1 - 
16008,location 167,-event_type 35 - ,-feature 307 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
7265,location 13,-event_type 13 - event_type 11 - ,-feature 179 - feature 273 - feature 68 - ,-1 - 3 - 4 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - 
11095,location 152,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
2181,location 704,-event_type 15 - ,-feature 71 - feature 82 - feature 203 - ,-2 - 16 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
8845,location 23,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
13617,location 416,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - feature 301 - feature 221 - ,-1 - 1 - 5 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
17228,location 805,-event_type 11 - ,-feature 70 - feature 191 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
16321,location 474,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - feature 233 - feature 313 - ,-5 - 1 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
14851,location 793,-event_type 11 - ,-feature 73 - feature 195 - ,-39 - 19 - ,-resource_type 8 - ,-severity_type 1 - 
9613,location 118,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-13 - 12 - ,-resource_type 2 - ,-severity_type 2 - 
3121,location 761,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
4840,location 478,-event_type 35 - event_type 34 - ,-feature 234 - feature 309 - feature 314 - feature 229 - ,-10 - 24 - 19 - 18 - ,-resource_type 2 - ,-severity_type 2 - 
18216,location 1050,-event_type 13 - ,-feature 273 - ,-1 - ,-resource_type 6 - ,-severity_type 1 - 
17113,location 1050,-event_type 22 - event_type 11 - ,-feature 222 - feature 305 - feature 75 - ,-1 - 1 - 1 - ,-resource_type 8 - resource_type 7 - ,-severity_type 2 - 
4775,location 962,-event_type 15 - ,-feature 82 - ,-26 - ,-resource_type 8 - ,-severity_type 2 - 
14105,location 812,-event_type 11 - ,-feature 51 - feature 101 - ,-277 - 156 - ,-resource_type 8 - ,-severity_type 1 - 
4993,location 652,-event_type 11 - ,-feature 201 - feature 80 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
8901,location 925,-event_type 11 - ,-feature 103 - feature 170 - feature 68 - feature 182 - feature 207 - feature 54 - ,-1 - 93 - 13 - 1 - 1 - 140 - ,-resource_type 8 - ,-severity_type 1 - 
15443,location 344,-event_type 34 - event_type 35 - event_type 20 - event_type 11 - ,-feature 181 - feature 219 - feature 232 - feature 312 - feature 134 - ,-2 - 1 - 2 - 2 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
435,location 508,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
4595,location 1008,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
14503,location 266,-event_type 34 - event_type 35 - ,-feature 312 - feature 307 - feature 232 - ,-2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
2191,location 972,-event_type 11 - ,-feature 170 - feature 54 - ,-3 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
2163,location 955,-event_type 11 - ,-feature 70 - feature 191 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
9987,location 495,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-7 - 12 - ,-resource_type 2 - ,-severity_type 2 - 
16234,location 641,-event_type 42 - event_type 44 - ,-feature 368 - feature 283 - feature 291 - feature 376 - ,-5 - 5 - 4 - 5 - ,-resource_type 2 - ,-severity_type 1 - 
3834,location 846,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - feature 201 - feature 80 - ,-17 - 11 - 5 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
13133,location 314,-event_type 34 - event_type 35 - ,-feature 233 - feature 312 - feature 313 - feature 232 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
13909,location 892,-event_type 43 - event_type 44 - event_type 42 - ,-feature 368 - feature 283 - feature 376 - feature 291 - feature 290 - feature 375 - ,-10 - 5 - 10 - 3 - 1 - 9 - ,-resource_type 2 - ,-severity_type 1 - 
9952,location 36,-event_type 21 - event_type 20 - event_type 54 - ,-feature 220 - feature 134 - feature 219 - feature 135 - ,-2 - 3 - 3 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
3666,location 388,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - feature 307 - feature 227 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
6072,location 1047,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
2936,location 653,-event_type 11 - event_type 15 - ,-feature 201 - feature 80 - feature 82 - feature 203 - ,-3 - 3 - 31 - 22 - ,-resource_type 8 - ,-severity_type 1 - 
6497,location 794,-event_type 20 - event_type 11 - event_type 23 - event_type 14 - ,-feature 47 - feature 219 - feature 134 - feature 306 - feature 163 - ,-1 - 2 - 2 - 1 - 2 - ,-resource_type 8 - resource_type 2 - resource_type 4 - resource_type 7 - ,-severity_type 1 - 
5645,location 95,-event_type 34 - event_type 35 - ,-feature 228 - feature 308 - feature 230 - feature 310 - ,-5 - 6 - 5 - 6 - ,-resource_type 2 - ,-severity_type 2 - 
15476,location 1115,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
8472,location 465,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-46 - 44 - ,-resource_type 2 - ,-severity_type 2 - 
15687,location 100,-event_type 34 - event_type 35 - ,-feature 234 - feature 314 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
10682,location 408,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
10772,location 182,-event_type 34 - event_type 35 - ,-feature 233 - feature 312 - feature 315 - feature 313 - feature 232 - feature 235 - feature 227 - feature 307 - ,-2 - 6 - 1 - 2 - 5 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
8156,location 600,-event_type 15 - ,-feature 82 - feature 203 - ,-20 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
10436,location 925,-event_type 11 - ,-feature 103 - feature 68 - feature 182 - feature 170 - feature 207 - feature 54 - ,-1 - 24 - 3 - 37 - 3 - 38 - ,-resource_type 8 - ,-severity_type 1 - 
16827,location 242,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-4 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
12299,location 846,-event_type 15 - ,-feature 82 - feature 203 - ,-8 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
9258,location 704,-event_type 15 - ,-feature 82 - feature 203 - feature 201 - feature 80 - ,-16 - 14 - 1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
4759,location 447,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
8989,location 403,-event_type 35 - event_type 20 - event_type 34 - ,-feature 307 - feature 134 - feature 312 - feature 301 - feature 219 - feature 232 - ,-4 - 4 - 4 - 4 - 4 - 3 - ,-resource_type 2 - ,-severity_type 1 - 
14823,location 505,-event_type 35 - event_type 34 - ,-feature 232 - feature 315 - feature 313 - feature 312 - feature 235 - feature 233 - ,-75 - 4 - 2 - 76 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
17270,location 961,-event_type 11 - ,-feature 54 - feature 170 - ,-4 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
2005,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
15757,location 210,-event_type 34 - event_type 35 - event_type 20 - ,-feature 221 - feature 134 - feature 301 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
14476,location 119,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
